distance,k,f1,topk,auc
euclidean,1,0.6003059219069639,0.6389388264669164,0.7950526951454316
euclidean,2,0.5474866889035218,0.6120848938826466,0.8629244001427858
euclidean,3,0.5977290047686488,0.6468913857677903,0.8898473359468207
euclidean,4,0.6399755555385086,0.6849438202247191,0.9005724259113478
euclidean,5,0.6667008807399188,0.6971910112359551,0.9133128757839961
euclidean,6,0.6728420539384304,0.7196629213483147,0.923018805665205
euclidean,7,0.6779678276987892,0.7263670411985019,0.9336000994271021
euclidean,8,0.6913658196749312,0.7207865168539326,0.938496745200043
euclidean,9,0.6938181346519954,0.7342821473158552,0.9396003240994343
euclidean,10,0.7035173081005599,0.7399001248439452,0.9444338878893946
euclidean,11,0.706464250144717,0.75103620474407,0.9450518283399211
euclidean,12,0.7084973406577242,0.744394506866417,0.9480881175570772
euclidean,13,0.6869642164523914,0.7454681647940073,0.9493452619957697
euclidean,14,0.7075584366706986,0.7421098626716605,0.9512569297950865
euclidean,15,0.719912997613126,0.7398751560549313,0.9528073573290226
cosine,1,0.6871738342104037,0.7128838951310861,0.8374863154766883
cosine,2,0.6388948293651602,0.6826217228464418,0.8910618734295923
cosine,3,0.7034453394641679,0.7320099875156054,0.9135837055343761
cosine,4,0.7383359934536291,0.7689513108614232,0.9357460194838835
cosine,5,0.7476157162137449,0.7745817727840199,0.9431260244659432
cosine,6,0.7557970023301008,0.78916354556804,0.9519799226714252
cosine,7,0.7577584918915388,0.7947940074906367,0.9561341741153063
cosine,8,0.7652955593480955,0.8026217228464418,0.9586915037518162
cosine,9,0.7710185090001676,0.7992259675405743,0.9610080957705719
cosine,10,0.7684097200622519,0.803720349563046,0.9602579129126123
cosine,11,0.782060597872568,0.8081897627965045,0.9635540754779003
cosine,12,0.7820437382858713,0.8183146067415731,0.9664018910823158
cosine,13,0.7857064028851919,0.804868913857678,0.9658692960708279
cosine,14,0.7682291373693046,0.800374531835206,0.9664024591964271
cosine,15,0.7730914530164724,0.8071161048689138,0.9664905467938775
